id,age,wp,SPA,y,a
1,52,1,60,19244.3165195302,163.0481037081
1,53,1,60,20296.2283693597,1783.6298529429
1,54,1,60,20147.5930980442,4385.6451722884
1,55,1,60,20862.8021658035,5867.0846139705
1,56,1,60,22505.1327943465,6192.932779213
1,57,1,60,22306.2521874495,6124.2842022364
1,58,1,60,22750.4725480204,5988.4744296632
1,59,0,60,0,6092.0077071247
1,60,0,60,0,257.8217898603
1,61,0,60,0,254.4050725837
1,62,0,60,0,253.8223301264
1,63,0,60,0,253.8130150638
1,64,0,60,0,253.8128661648
1,65,0,60,0,253.8128637764
1,66,0,60,0,311.0569135462
1,67,0,60,0,311.9719526021
1,68,0,60,0,311.9865793866
1,69,0,60,0,311.9868131961
1,70,0,60,0,311.9868169311
1,71,0,60,0,311.9868169889
1,72,0,60,0,311.9868169923
1,73,0,60,0,311.9868169895
1,74,0,60,0,311.9868169897
1,75,0,60,0,311.9868169883
2,52,1,60,23583.0201085,5479.4565340188
2,53,1,60,26629.0271555895,6075.9810844261
2,54,1,60,24107.5559096191,6241.798796175
2,55,1,60,25887.7691069931,7517.2626752244
2,56,1,60,23287.02619434,5995.7939250988
2,57,0,60,0,6124.2842022617
2,58,1,60,23123.0438073596,258.3377256438
2,59,1,60,22466.2375104053,635.5353271415
2,60,1,60,28803.02896777,369.2789821674
2,61,0,60,0,6244.4475997505
2,62,0,60,0,2967.3312285769
2,63,0,60,0,297.1881192787
2,64,0,60,0,254.5062118365
2,65,0,60,0,253.8239468213
2,66,0,60,0,317.1703866557
2,67,0,60,0,318.1829716675
2,68,0,60,0,318.1991577138
2,69,0,60,0,318.199416449
2,70,0,60,0,318.1994205788
2,71,0,60,0,318.1994206503
2,72,0,60,0,318.1994206467
2,73,0,60,0,318.1994206474
2,74,0,60,0,318.1994206458
2,75,0,60,0,318.1994206442
3,52,1,60,20567.117812578,3278.3991746196
3,53,0,60,0,5340.7817537957
3,54,1,60,20748.813602785,245.8135359036
3,55,1,60,22314.3243586926,1247.7872858673
3,56,1,60,24046.4166252726,1626.342687766
3,57,1,60,21155.0688758267,1732.2871217738
3,58,1,60,20808.9105853887,2007.9365481904
3,59,1,60,20719.3006711203,3026.6840699602
3,60,0,60,0,2751.2668172543
3,61,1,60,30708.4855113356,293.7343563811
3,62,1,60,32278.6100902876,5415.0337299029
3,63,1,60,30917.6631302349,7490.5755340625
3,64,0,60,0,10655.9988880096
3,65,0,60,0,5967.2803392011
3,66,0,60,0,3875.2292412497
3,67,0,60,0,1899.3027885731
3,68,0,60,0,539.1822940951
3,69,0,60,0,297.7357568504
3,70,0,60,0,293.8762638061
3,71,0,60,0,293.8145702871
3,72,0,60,0,293.8135841238
3,73,0,60,0,293.8135683624
3,74,0,60,0,293.8135681127
3,75,0,60,0,293.273205634
4,52,0,60,0,1344.3564512232
4,53,1,60,18754.9334060166,181.9311715735
4,54,0,60,0,1552.0771019227
4,55,1,60,18232.1116228041,532.1737209054
4,56,0,60,0,4243.5674849195
4,57,1,60,20373.5467869158,1852.8542754731
4,58,0,60,0,4360.1559158218
4,59,0,60,0,1688.6018795807
4,60,0,60,0,187.4338921806
4,61,0,60,0,252.75180409
4,62,0,60,0,253.7959028405
4,63,0,60,0,253.8125926265
4,64,0,60,0,253.8128594095
4,65,0,60,0,253.8128636693
4,66,0,60,0,310.4578238856
4,67,0,60,0,311.3632865692
4,68,0,60,0,311.3777602742
4,69,0,60,0,311.3779916349
4,70,0,60,0,311.377995332
4,71,0,60,0,311.3779953911
4,72,0,60,0,311.3779953927
4,73,0,60,0,311.377995392
4,74,0,60,0,311.3779953922
4,75,0,60,0,311.3779953909
5,52,0,60,0,163.1619398558
5,53,0,60,0,163.3856994805
5,54,0,60,0,164.2479053547
5,55,0,60,0,164.9354943862
5,56,0,60,0,163.6963059333
5,57,0,60,0,165.5826994202
5,58,0,60,0,164.3210181812
5,59,0,60,0,163.0684510926
5,60,0,60,0,163.0484289555
5,61,0,60,0,252.3620054754
5,62,0,60,0,253.7896719561
5,63,0,60,0,253.8124930288
5,64,0,60,0,253.8128578168
5,65,0,60,0,253.8128636432
5,66,0,60,0,303.6426166051
5,67,0,60,0,304.4391390473
5,68,0,60,0,304.4518713571
5,69,0,60,0,304.4520748812
5,70,0,60,0,304.4520781362
5,71,0,60,0,304.4520781852
5,72,0,60,0,304.4520781861
5,73,0,60,0,304.4520781903
5,74,0,60,0,304.4520781849
5,75,0,60,0,304.4520781838
6,52,1,60,32124.6337727234,18098.2534976707
6,53,1,60,34412.9471498086,19038.6799413643
6,54,1,60,34890.6200314828,20119.2053212426
6,55,1,60,36569.9569901403,21108.3730449783
6,56,1,60,35267.2868876789,22099.796441733
6,57,1,60,32082.3863445851,22697.4837351991
